track_id,title,artist,genre,tags
1,Levitating,Dua Lipa,pop,"happy upbeat dance"
2,Blinding Lights,The Weeknd,synthwave,"happy energetic upbeat"
3,As It Was,Harry Styles,pop,"happy uplifting positive"
4,Heat Waves,Glass Animals,indie pop,"happy dreamy uplifting"
5,Walk Me Home,P!nk,pop,"happy empowering upbeat"
6,Midnight City,M83,electronic,"happy energetic synth"
7,Happier Than Ever,Billie Eilish,pop,"happy bold confident"
8,Don't Start Now,Dua Lipa,dance pop,"happy party upbeat"
9,Someone You Loved,Lewis Capaldi,pop ballad,"sad emotional heartfelt"
10,Falling,Harry Styles,acoustic,"sad vulnerable emotional"
11,Mad World,Gary Jules,alternative,"sad dark melancholic"
12,Hurt,Johnny Cash,acoustic,"sad sorrowful emotional"
13,Skinny Love,Bon Iver,indie folk,"sad emotional intimate"
14,Yesterday,The Beatles,pop ballad,"sad reflective nostalgic"
15,Black,Pearl Jam,grunge,"sad dark heavy"
16,Tears in Heaven,Eric Clapton,acoustic,"sad emotional tender"
17,Creep,Radiohead,alternative,"sad lonely vulnerable"
18,Nutshell,Alice in Chains,acoustic,"sad dark intimate"
19,High and Dry,Radiohead,alternative,"sad melancholic atmospheric"
20,Zombie,The Cranberries,alternative rock,"anger intense dark"
21,Rage,Sabaton,heavy metal,"anger aggressive powerful"
22,Killing in the Name,Rage Against the Machine,rap metal,"anger rebellious aggressive"
23,Enter Sandman,Metallica,heavy metal,"anger intense heavy"
24,Break Stuff,Limp Bizkit,nu metal,"anger aggressive rebellious"
25,My Immortal,Evanescence,gothic rock,"angry dark intense"
26,Under the Bridge,Red Hot Chili Peppers,alternative rock,"calm reflective melancholic"
27,No Surprises,Radiohead,alternative,"calm melancholic reflective"
28,Breathe,Pink Floyd,progressive rock,"calm atmospheric meditative"
29,The Scientist,Coldplay,alternative,"calm melancholic thoughtful"
30,Fix You,Coldplay,alternative,"calm emotional uplifting"
31,Weightless,Marconi Union,ambient,"calm soothing relaxing"
32,Weightless,Brian Eno,ambient,"calm peaceful meditative"
33,Space Music,Vangelis,electronic,"calm atmospheric spacey"
34,Gymnastics,Tiësto,electronic,"calm uplifting trance"
35,Clair de Lune,Claude Debussy,classical,"calm peaceful timeless"
36,Wewe,Harmonize,Tanzanian pop,"happy romantic upbeat"
37,Eish,Wizkid,Afrobeats,"happy upbeat dance"
38,Essence,Wizkid ft Tems,Afrobeats,"happy cheerful uplifting"
39,As It Was,Ed Sheeran,pop,"happy uplifting positive"
40,Good as Hell,Lizzo,hip hop,"happy empowering confident"
41,Walking on Sunshine,Katrina and The Waves,new wave,"happy upbeat party"
42,Don't Stop Me Now,Queen,rock,"happy energetic euphoric"
43,Good Life,Three Days Grace,alternative,"happy uplifting positive"
44,Shut Up and Dance,Walk the Moon,indie pop,"happy upbeat dance"
45,Take Me Back to London,Ed Sheeran,hip hop,"happy nostalgic uplifting"
46,Sad,Bo Burnham,comedy,"sad vulnerable emotional"
47,Chasing Cars,Snow Patrol,alternative,"sad melancholic intimate"
48,Somewhere Only We Know,Keane,pop rock,"sad melancholic romantic"
49,When You Were Young,The Killers,alternative,"sad nostalgic reflective"
50,Iris,Goo Goo Dolls,alternative,"sad emotional intimate"
51,New Slang,The Shins,indie,"sad emotional introspective"
52,Fake Plastic Trees,Radiohead,alternative,"sad melancholic atmospheric"
53,The Night We Met,Lord Huron,indie folk,"sad nostalgic intimate"
54,Cats,Kings of Leon,alternative,"sad dark heavy"
55,Use Somebody,Kings of Leon,alternative,"sad melancholic seeking"
56,Break My Soul,Beyoncé,dance,"happy energetic uplifting"
57,One Kiss,Calvin Harris ft Dua Lipa,dance,"happy euphoric upbeat"
58,Tití Me Preguntó,Bad Bunny,reggaeton,"happy upbeat vibrant"
59,Dakiti,Bad Bunny ft Jhay Cortez,reggaeton,"happy upbeat tropical"
60,Tití,Bad Bunny,reggaeton,"happy romantic upbeat"
61,Pepas,Farruko,reggaeton,"happy party upbeat"
62,Ella y Yo,Eslabon Armado X Peso Pluma,regional Mexican,"happy upbeat vibrant"
63,Un x100to,Grupo Frontera X Bad Bunny,regional Mexican,"happy upbeat energetic"
64,Ella Baila Sola,Eslabon Armado,regional Mexican,"happy upbeat party"
65,La Jumpa,Arcángel x Bad Bunny,reggaeton,"happy upbeat energetic"
66,Despecha,Rosalía,reggaeton,"happy empowering confident"
67,MAMIII,Becky G X Karol G,reggaeton,"happy upbeat confident"
68,Monaco,Bad Bunny ft The Weeknd,reggaeton,"happy upbeat party"
69,Dákiti,Bad Bunny,reggaeton,"happy upbeat tropical"
70,Overdose,Lil Pump ft Wepo Pareo,trap,"happy energetic upbeat"
71,Sunroof,Nicky Youre,bedroom pop,"happy uplifting positive"
72,As It Was,Harry Styles,pop,"happy uplifting positive"
73,Snap,Rosa Linn,pop,"happy upbeat energetic"
74,Obsessed,Sueco,pop,"happy energetic upbeat"
75,Unstoppable,Sia,pop,"happy empowering confident"
76,Here Comes The Sun,The Beatles,pop rock,"happy cheerful uplifting"
77,Walking on Sunshine,Wolfe,indie pop,"happy upbeat energetic"
78,Dancing in the Moonlight,King Harvest,classic rock,"happy upbeat party"
79,I'm a Believer,The Monkees,pop,"happy cheerful uplifting"
